RTT2=180.9	RTT=45.225	PING=60.3
RTT2=709.706835938	RTT=120.298113174	PING=34.1
RTT2=708.386744639	RTT=46.7245282936	PING=22.2
RTT2=707.085603113	RTT=27.1311320734	PING=20.6
RTT2=705.810679612	RTT=24.5577830184	PING=23.7
RTT2=705.141085271	RTT=102.139445755	PING=128
RTT2=703.657253385	RTT=42.0348614386	PING=22.0
RTT2=702.986100386	RTT=105.00871536	PING=126
RTT2=702.608477842	RTT=184.50217884	PING=211
RTT2=701.434230769	RTT=121.87554471	PING=101
RTT2=701.183877159	RTT=198.468886177	PING=224
RTT2=703.877011494	RTT=632.367221544	PING=777
RTT2=704.12581262	RTT=560.841805386	PING=537
RTT2=704.934732824	RTT=556.460451347	PING=555
RTT2=704.380571429	RTT=381.365112837	PING=323
RTT2=704.349429658	RTT=348.091278209	PING=337
RTT2=704.126755218	RTT=318.022819552	PING=308
RTT2=702.527462121	RTT=121.430704888	PING=55.9
RTT2=701.244612476	RTT=50.307676222	PING=26.6
RTT2=699.98509434	RTT=27.6519190555	PING=20.1
RTT2=698.801883239	RTT=29.8629797639	PING=30.6
RTT2=697.683458647	RTT=41.065744941	PING=44.8
RTT2=696.484052533	RTT=36.0664362352	PING=34.4
RTT2=695.258614232	RTT=28.1416090588	PING=25.5
RTT2=694.606728972	RTT=100.035402265	PING=124
RTT2=698.032835821	RTT=688.758850566	PING=885
RTT2=696.554189944	RTT=369.439712642	PING=263
RTT2=694.887174721	RTT=108.03492816	PING=20.9
RTT2=693.66716141	RTT=41.5587320401	PING=19.4
RTT2=692.548888889	RTT=37.68968301	PING=36.4
RTT2=691.655637708	RTT=70.8474207525	PING=81.9
RTT2=691.019926199	RTT=124.961855188	PING=143
RTT2=689.689502762	RTT=59.140463797	PING=37.2
RTT2=688.480147059	RTT=32.0351159493	PING=23.0
RTT2=687.388256881	RTT=37.1087789873	PING=38.8
RTT2=686.333516484	RTT=46.8521947468	PING=50.1
RTT2=686.517367459	RTT=220.963048687	PING=279
RTT2=686.326642336	RTT=270.490762172	PING=287
RTT2=686.47723133	RTT=331.622690543	PING=352
RTT2=688.330909091	RTT=597.405672636	PING=686
RTT2=687.328493648	RTT=354.851418159	PING=274
RTT2=688.277173913	RTT=459.96285454	PING=495
RTT2=689.386980108	RTT=564.240713635	PING=599
RTT2=691.458483755	RTT=750.060178409	PING=812
RTT2=693.922522523	RTT=905.265044602	PING=957
RTT2=694.368705036	RTT=701.066261151	PING=633
RTT2=694.70556553	RTT=554.016565288	PING=505
RTT2=693.383512545	RTT=254.004141322	PING=154
RTT2=693.193202147	RTT=248.75103533	PING=247
RTT2=693.169642857	RTT=293.937758833	PING=309
RTT2=691.706773619	RTT=118.859439708	PING=60.5
RTT2=691.943060498	RTT=250.964859927	PING=295
RTT2=693.61634103	RTT=544.991214982	PING=643
RTT2=699.79964539	RTT=1342.24780375	PING=1608
RTT2=700.913274336	RTT=1069.81195094	PING=979
RTT2=698.946996466	RTT=409.202987734	PING=189
RTT2=699.846560847	RTT=451.800746934	PING=466
RTT2=700.730633803	RTT=529.950186733	PING=556
RTT2=700.014059754	RTT=344.737546683	PING=283
RTT2=699.463157895	RTT=253.434386671	PING=223
RTT2=702.182136602	RTT=682.108596668	PING=825
RTT2=701.966783217	RTT=521.527149167	PING=468
RTT2=702.888307155	RTT=554.881787292	PING=566
RTT2=703.567944251	RTT=553.470446823	PING=553
RTT2=703.631304348	RTT=461.617611706	PING=431
RTT2=703.796875	RTT=422.904402926	PING=410
RTT2=702.745233969	RTT=232.476100732	PING=169
RTT2=703.738754325	RTT=419.619025183	PING=482
RTT2=705.151986183	RTT=605.904756296	PING=668
RTT2=706.379310345	RTT=672.726189074	PING=695
RTT2=706.936316695	RTT=599.431547268	PING=575
RTT2=709.45532646	RTT=836.857886817	PING=916
RTT2=709.857632933	RTT=674.214471704	PING=620
RTT2=711.561643836	RTT=749.803617926	PING=775
RTT2=712.405128205	RTT=682.450904482	PING=660
RTT2=717.0	RTT=1186.86272612	PING=1355
RTT2=716.051107325	RTT=675.46568153	PING=505
RTT2=716.668367347	RTT=564.866420383	PING=528
RTT2=718.222410866	RTT=681.216605096	PING=720
RTT2=717.798305085	RTT=467.304151274	PING=396
RTT2=718.360406091	RTT=478.326037818	PING=482
RTT2=718.015202703	RTT=368.581509455	PING=332
RTT2=719.962900506	RTT=643.395377364	PING=735
RTT2=719.836700337	RTT=505.848844341	PING=460
RTT2=718.927731092	RTT=286.212211085	PING=213
RTT2=718.511744966	RTT=242.553052771	PING=228
RTT2=719.479061977	RTT=441.638263193	PING=508
RTT2=717.943143813	RTT=187.659565798	PING=103
RTT2=717.3639399	RTT=165.41489145	PING=158
RTT2=718.98	RTT=502.603722862	PING=615
RTT2=719.650582363	RTT=559.900930716	PING=579
RTT2=720.558139535	RTT=601.225232679	PING=615
RTT2=719.696517413	RTT=354.30630817	PING=272
RTT2=718.57615894	RTT=167.326577042	PING=105
RTT2=718.573553719	RTT=247.331644261	PING=274
RTT2=718.079207921	RTT=235.082911065	PING=231
RTT2=717.074135091	RTT=143.520727766	PING=113
RTT2=717.376644737	RTT=289.380181942	PING=338
RTT2=716.968801314	RTT=274.095045485	PING=269
RTT2=715.52852459	RTT=95.3737613713	PING=35.8
RTT2=715.374140753	RTT=188.093440343	PING=219
RTT2=713.935130719	RTT=60.4483600857	PING=17.9
RTT2=712.947797716	RTT=46.7620900214	PING=42.2
RTT2=717.302605863	RTT=868.940522505	PING=1143
RTT2=715.316747967	RTT=376.985130626	PING=213
RTT2=713.901298701	RTT=108.346282657	PING=18.8
RTT2=712.812965964	RTT=42.3865706641	PING=20.4
RTT2=711.743042071	RTT=28.596642666	PING=24.0
RTT2=710.652342488	RTT=22.2991606665	PING=20.2
RTT2=709.66516129	RTT=35.2747901666	PING=39.6
RTT2=708.748953301	RTT=53.8936975417	PING=60.1
RTT2=707.702411576	RTT=42.9484243854	PING=39.3
RTT2=706.642536116	RTT=32.4121060964	PING=28.9
RTT2=705.557051282	RTT=22.6530265241	PING=19.4
RTT2=704.6256	RTT=41.363256631	PING=47.6
RTT2=703.560063898	RTT=31.6408141578	PING=28.4
RTT2=702.485486443	RTT=22.4602035394	PING=19.4
RTT2=701.438216561	RTT=21.6650508849	PING=21.4
RTT2=700.50317965	RTT=39.0912627212	PING=44.9
RTT2=699.404761905	RTT=23.1228156803	PING=17.8
RTT2=698.391759113	RTT=25.2807039201	PING=26.0
RTT2=697.334335443	RTT=20.34517598	PING=18.7
RTT2=696.331121643	RTT=25.336293995	PING=27.0
RTT2=695.275394322	RTT=19.8340734988	PING=18.0
RTT2=694.261732283	RTT=22.3585183747	PING=23.2
RTT2=693.222327044	RTT=19.6896295937	PING=18.8
RTT2=692.206750392	RTT=21.1974073984	PING=21.7
RTT2=691.234482759	RTT=28.6993518496	PING=31.2
RTT2=690.219405321	RTT=25.6248379624	PING=24.6
RTT2=689.1878125	RTT=20.0562094906	PING=18.2
RTT2=688.183463339	RTT=20.9140523727	PING=21.2
RTT2=692.190654206	RTT=825.728513093	PING=1094
RTT2=690.574494557	RTT=393.182128273	PING=249
RTT2=689.623291925	RTT=180.045532068	PING=109
RTT2=688.49627907	RTT=62.9363830171	PING=23.9
RTT2=687.511919505	RTT=34.8590957543	PING=25.5
RTT2=686.51885626	RTT=26.3397739386	PING=23.5
RTT2=685.515277778	RTT=21.5099434846	PING=19.9
RTT2=684.519414484	RTT=20.1524858712	PING=19.7
RTT2=683.552307692	RTT=23.9381214678	PING=25.2
RTT2=682.804608295	RTT=61.4845303669	PING=74.0
RTT2=681.861042945	RTT=50.7711325917	PING=47.2
RTT2=681.005972435	RTT=55.3677831479	PING=56.9
RTT2=680.014373089	RTT=36.191945787	PING=29.8
RTT2=679.018167939	RTT=23.3729864467	PING=19.1
RTT2=678.288719512	RTT=60.7432466117	PING=73.2
RTT2=677.240334855	RTT=30.8608116529	PING=20.9
RTT2=676.299696049	RTT=27.5152029132	PING=26.4
RTT2=675.341274659	RTT=24.6538007283	PING=23.7
RTT2=674.494848485	RTT=41.2634501821	PING=46.8
RTT2=673.652344932	RTT=51.4158625455	PING=54.8
RTT2=672.645770393	RTT=28.3789656364	PING=20.7
RTT2=671.815384615	RTT=42.7947414091	PING=47.6
RTT2=670.907680723	RTT=39.8736853523	PING=38.9
RTT2=669.956691729	RTT=29.3184213381	PING=25.8
RTT2=669.043093093	RTT=29.1546053345	PING=29.1
RTT2=668.343178411	RTT=65.1136513336	PING=77.1
RTT2=667.329640719	RTT=33.3784128334	PING=22.8
RTT2=676.06935725	RTT=1642.59460321	PING=2179
RTT2=677.145373134	RTT=1304.6486508	PING=1192
RTT2=675.276304024	RTT=479.912162701	PING=205
RTT2=674.854761905	RTT=269.228040675	PING=199
RTT2=673.643239227	RTT=81.9320101688	PING=19.5
RTT2=673.126706231	RTT=106.733002542	PING=115
RTT2=672.054222222	RTT=42.7332506355	PING=21.4
RTT2=671.270266272	RTT=51.5583126589	PING=54.5
RTT2=670.376366322	RTT=43.0395781647	PING=40.2
RTT2=670.846017699	RTT=268.009894541	PING=343
RTT2=669.967010309	RTT=171.252473635	PING=139
RTT2=668.966617647	RTT=74.9881184088	PING=42.9
RTT2=668.073274596	RTT=44.6220296022	PING=34.5
RTT2=667.349266862	RTT=63.3555074006	PING=69.6
RTT2=666.356808199	RTT=30.6138768501	PING=19.7
RTT2=665.430555556	RTT=20.7784692125	PING=17.5
RTT2=664.507591241	RTT=17.8696173031	PING=16.9
RTT2=663.597813411	RTT=18.7924043258	PING=19.1
RTT2=662.838573508	RTT=44.9731010814	PING=53.7
RTT2=662.050872093	RTT=54.8932752704	PING=58.2
RTT2=661.115674891	RTT=32.6983188176	PING=25.3
RTT2=661.042608696	RTT=167.174579704	PING=212
RTT2=659.854269175	RTT=54.7686449261	PING=17.3
RTT2=658.982369942	RTT=32.1421612315	PING=24.6
