RTT2=180.9	RTT=45.225	PING=60.3
RTT2=830.525641026	RTT=20.40584405	PING=19.5
RTT2=824.369491525	RTT=36.0014610125	PING=41.2
RTT2=818.104201681	RTT=39.0003652531	PING=40.0
RTT2=811.523333333	RTT=26.8500913133	PING=22.8
RTT2=805.679338843	RTT=38.5125228283	PING=42.4
RTT2=799.52704918	RTT=34.0031307071	PING=32.5
RTT2=793.86504065	RTT=42.4007826768	PING=45.2
RTT2=788.429032258	RTT=51.8501956692	PING=55.0
RTT2=782.7688	RTT=46.9375489173	PING=45.3
RTT2=776.684920635	RTT=27.1093872293	PING=20.5
RTT2=770.814173228	RTT=19.6773468073	PING=17.2
RTT2=765.14765625	RTT=20.5943367018	PING=20.9
RTT2=760.098449612	RTT=38.8235841755	PING=44.9
RTT2=754.386153846	RTT=25.3058960439	PING=20.8
RTT2=748.910687023	RTT=20.801474011	PING=19.3
RTT2=743.843181818	RTT=30.0253685027	PING=33.1
RTT2=738.980451128	RTT=40.0563421257	PING=43.4
RTT2=733.634328358	RTT=26.5140855314	PING=22.0
RTT2=730.881481481	RTT=102.628521383	PING=128
RTT2=727.014705882	RTT=108.907130346	PING=111
RTT2=725.649635036	RTT=189.976782586	PING=217
RTT2=720.777536232	RTT=115.069195647	PING=90.1
RTT2=716.625179856	RTT=87.1922989117	PING=77.9
RTT2=712.036428571	RTT=59.8230747279	PING=50.7
RTT2=708.388652482	RTT=77.055768682	PING=82.8
RTT2=704.027464789	RTT=62.2389421705	PING=57.3
RTT2=700.843356643	RTT=92.0597355426	PING=102
RTT2=696.553472222	RTT=69.2899338857	PING=61.7
RTT2=692.551034483	RTT=61.7974834714	PING=59.3
RTT2=688.274657534	RTT=47.3243708679	PING=42.5
RTT2=684.640136054	RTT=60.956092717	PING=65.5
RTT2=682.693243243	RTT=130.739023179	PING=154
RTT2=677.893288591	RTT=63.0597557948	PING=40.5
RTT2=674.04	RTT=50.8649389487	PING=46.8
RTT2=671.451655629	RTT=95.2162347372	PING=110
RTT2=667.569736842	RTT=71.6540586843	PING=63.8
RTT2=664.82875817	RTT=95.9135146711	PING=104
RTT2=661.920779221	RTT=104.228378668	PING=107
RTT2=659.476129032	RTT=123.557094667	PING=130
RTT2=655.971153846	RTT=91.5642736667	PING=80.9
RTT2=652.460509554	RTT=69.3160684167	PING=61.9
RTT2=648.784177215	RTT=50.7040171042	PING=44.5
RTT2=645.386163522	RTT=50.926004276	PING=51.0
RTT2=641.74625	RTT=41.231501069	PING=38.0
RTT2=638.176397516	RTT=36.5578752673	PING=35.0
RTT2=634.845061728	RTT=42.5144688168	PING=44.5
RTT2=631.558895706	RTT=46.5536172042	PING=47.9
RTT2=628.092682927	RTT=39.3884043011	PING=37.0
RTT2=627.625454545	RTT=156.847101075	PING=196
RTT2=623.272891566	RTT=64.4867752688	PING=33.7
RTT2=620.118562874	RTT=48.6716938172	PING=43.4
RTT2=636.204761905	RTT=853.667923454	PING=1122
RTT2=628.250887574	RTT=316.916980864	PING=138
RTT2=624.338235294	RTT=104.504245216	PING=33.7
RTT2=620.965497076	RTT=46.451061304	PING=27.1
RTT2=617.618023256	RTT=29.687765326	PING=24.1
RTT2=614.857225434	RTT=48.4469413315	PING=54.7
RTT2=612.036781609	RTT=56.8117353329	PING=59.6
RTT2=608.817714286	RTT=41.2779338332	PING=36.1
RTT2=605.605113636	RTT=30.1944834583	PING=26.5
RTT2=602.430508475	RTT=25.0986208646	PING=23.4
RTT2=599.270224719	RTT=22.0996552161	PING=21.1
RTT2=596.194972067	RTT=22.999913804	PING=23.3
RTT2=593.093333333	RTT=21.049978451	PING=20.4
RTT2=589.997237569	RTT=18.5374946128	PING=17.7
RTT2=587.23021978	RTT=30.6593736532	PING=34.7
RTT2=585.798907104	RTT=97.6648434133	PING=120
RTT2=582.858152174	RTT=65.5912108533	PING=54.9
RTT2=579.712432432	RTT=30.3478027133	PING=18.6
RTT2=576.848924731	RTT=24.0119506783	PING=21.9
RTT2=574.12513369	RTT=28.3529876696	PING=29.8
RTT2=571.268617021	RTT=23.8132469174	PING=22.3
RTT2=568.832804233	RTT=39.2533117293	PING=44.4
RTT2=566.243157895	RTT=40.1133279323	PING=40.4
RTT2=563.62460733	RTT=36.6533319831	PING=35.5
RTT2=561.061979167	RTT=35.9383329958	PING=35.7
RTT2=558.313471503	RTT=25.5595832489	PING=22.1
RTT2=555.853608247	RTT=32.1898958122	PING=34.4
RTT2=553.291282051	RTT=30.6974739531	PING=30.2
RTT2=556.268367347	RTT=299.424368488	PING=389
RTT2=552.992893401	RTT=149.856092122	PING=100
RTT2=554.058585859	RTT=253.464023031	PING=288
RTT2=554.530653266	RTT=297.366005758	PING=312
RTT2=555.838	RTT=356.341501439	PING=376
RTT2=555.306467662	RTT=295.33537536	PING=275
RTT2=556.067326733	RTT=319.83384384	PING=328
RTT2=553.091133005	RTT=149.93346096	PING=93.3
RTT2=556.040196078	RTT=349.48336524	PING=416
RTT2=556.698536585	RTT=364.12084131	PING=369
RTT2=552.567475728	RTT=109.705210327	PING=24.9
RTT2=551.8647343	RTT=135.426302582	PING=144
RTT2=549.142307692	RTT=66.2565756455	PING=43.2
RTT2=548.533014354	RTT=132.814143911	PING=155
RTT2=545.778571429	RTT=64.4785359778	PING=41.7
RTT2=545.681516588	RTT=157.869633994	PING=189
RTT2=542.837264151	RTT=72.3924084986	PING=43.9
RTT2=556.716431925	RTT=903.848102125	PING=1181
RTT2=555.157009346	RTT=576.962025531	PING=468
RTT2=559.00744186	RTT=606.990506383	PING=617
RTT2=558.437962963	RTT=414.997626596	PING=351
RTT2=559.832258065	RTT=406.749406649	PING=404
RTT2=559.22293578	RTT=309.437351662	PING=277
RTT2=559.034703196	RTT=276.109337916	PING=265
RTT2=560.389090909	RTT=349.527334479	PING=374
RTT2=563.124886878	RTT=472.13183362	PING=513
RTT2=563.047747748	RTT=382.782958405	PING=353
RTT2=566.002690583	RTT=489.445739601	PING=525
RTT2=564.855357143	RTT=330.8614349	PING=278
RTT2=564.896	RTT=295.715358725	PING=284
RTT2=563.396460177	RTT=201.428839681	PING=170
RTT2=562.253744493	RTT=168.85720992	PING=158
RTT2=560.713157895	RTT=134.46430248	PING=123
RTT2=561.317030568	RTT=239.11607562	PING=274
RTT2=559.237391304	RTT=149.029018905	PING=119
RTT2=559.509090909	RTT=222.507254726	PING=247
RTT2=558.993965517	RTT=227.376813682	PING=229
RTT2=556.661373391	RTT=117.96920342	PING=81.5
RTT2=556.100854701	RTT=156.242300855	PING=169
RTT2=554.368510638	RTT=118.560575214	PING=106
RTT2=552.841525424	RTT=104.640143803	PING=100
RTT2=551.102109705	RTT=86.3100359509	PING=80.2
RTT2=550.579831933	RTT=148.327508988	PING=169
RTT2=549.690376569	RTT=163.831877247	PING=169
RTT2=547.848333333	RTT=110.107969312	PING=92.2
RTT2=546.09253112	RTT=81.7519923279	PING=72.3
RTT2=552.648760331	RTT=571.687998082	PING=735
RTT2=560.781893004	RTT=958.92199952	PING=1088
RTT2=566.467213115	RTT=998.73049988	PING=1012
RTT2=572.281632653	RTT=1000.43262497	PING=1001
RTT2=576.666666667	RTT=913.108156243	PING=884
RTT2=573.777327935	RTT=415.027039061	PING=249
RTT2=572.10483871	RTT=205.756759765	PING=136
RTT2=570.174297189	RTT=108.289189941	PING=75.8
RTT2=569.3424	RTT=136.572297485	PING=146
RTT2=567.819123506	RTT=117.393074371	PING=111
RTT2=570.482539683	RTT=366.848268593	PING=450
RTT2=568.642687747	RTT=230.462067148	PING=185
RTT2=568.533858268	RTT=239.115516787	PING=242
RTT2=575.425882353	RTT=701.778879197	PING=856
RTT2=572.91640625	RTT=372.694719799	PING=263
RTT2=574.671595331	RTT=414.92367995	PING=429
RTT2=575.304651163	RTT=395.480919987	PING=389
RTT2=574.847876448	RTT=310.370229997	PING=282
RTT2=571.847692308	RTT=96.7925574992	PING=25.6
RTT2=570.485057471	RTT=84.6481393748	PING=80.6
RTT2=569.179389313	RTT=98.4120348437	PING=103
RTT2=568.733840304	RTT=163.353008711	PING=185
RTT2=566.581060606	RTT=87.1882521777	PING=61.8
RTT2=566.360754717	RTT=164.297063044	PING=190
RTT2=564.623684211	RTT=114.649265761	PING=98.1
RTT2=563.137078652	RTT=95.1123164403	PING=88.6
RTT2=562.070895522	RTT=115.27807911	PING=122
RTT2=578.397769517	RTT=1297.81951978	PING=1692
RTT2=577.6	RTT=838.204879944	PING=685
RTT2=573.255350554	RTT=230.851219986	PING=28.4
RTT2=571.469117647	RTT=86.6628049965	PING=38.6
RTT2=569.866300366	RTT=64.7907012491	PING=57.5
RTT2=569.47080292	RTT=145.947675312	PING=173
RTT2=567.163636364	RTT=63.4869188281	PING=36.0
RTT2=565.230434783	RTT=33.271729707	PING=23.2
RTT2=563.697472924	RTT=49.2679324268	PING=54.6
RTT2=561.83705036	RTT=37.5919831067	PING=33.7
RTT2=559.96702509	RTT=27.8479957767	PING=24.6
RTT2=558.068928571	RTT=20.2369989442	PING=17.7
RTT2=556.824911032	RTT=61.609249736	PING=75.4
RTT2=555.207446809	RTT=59.427312434	PING=58.7
RTT2=553.368904594	RTT=38.2568281085	PING=31.2
RTT2=551.917957746	RTT=52.6892070271	PING=57.5
RTT2=551.063859649	RTT=104.672301757	PING=122
RTT2=548.910839161	RTT=40.4930754392	PING=19.1
RTT2=548.980487805	RTT=157.12326886	PING=196
RTT2=546.610416667	RTT=54.8808172149	PING=20.8
RTT2=546.525951557	RTT=149.470204304	PING=181
RTT2=545.25862069	RTT=127.367551076	PING=120
RTT2=543.760137457	RTT=89.141887769	PING=76.4
RTT2=542.296917808	RTT=70.5104719422	PING=64.3
RTT2=540.614675768	RTT=46.0526179856	PING=37.9
RTT2=538.842857143	RTT=25.9131544964	PING=19.2
RTT2=541.181694915	RTT=318.478288624	PING=416
RTT2=541.160810811	RTT=317.369572156	PING=317
RTT2=542.938047138	RTT=425.842393039	PING=462
RTT2=545.424832215	RTT=542.96059826	PING=582
RTT2=548.647491639	RTT=658.490149565	PING=697
RTT2=549.105333333	RTT=510.372537391	PING=461
RTT2=546.417275748	RTT=177.843134348	PING=67.0
RTT2=544.659271523	RTT=65.085783587	PING=27.5
RTT2=553.503630363	RTT=829.271445897	PING=1084
RTT2=553.455921053	RTT=613.067861474	PING=541
RTT2=556.929836066	RTT=691.766965369	PING=718
RTT2=562.135947712	RTT=889.941741342	PING=956
RTT2=568.321172638	RTT=1076.73543534	PING=1139
RTT2=572.615584416	RTT=1026.68385883	PING=1010
RTT2=573.260841424	RTT=702.170964708	PING=594
RTT2=578.66	RTT=885.792741177	PING=947
RTT2=581.268810289	RTT=805.698185294	PING=779
RTT2=584.880128205	RTT=823.174546324	PING=829
RTT2=582.816613419	RTT=397.793636581	PING=256
RTT2=581.100636943	RTT=174.448409145	PING=100
RTT2=580.528888889	RTT=168.862102286	PING=167
RTT2=579.097468354	RTT=116.015525572	PING=98.4
RTT2=578.152681388	RTT=123.503881393	PING=126
RTT2=576.167610063	RTT=49.1009703482	PING=24.3
RTT2=575.092163009	RTT=76.6252425871	PING=85.8
RTT2=575.81125	RTT=241.906310647	PING=297
RTT2=573.32211838	RTT=78.9265776617	PING=24.6
RTT2=571.79689441	RTT=46.4316444154	PING=35.6
RTT2=570.131888545	RTT=29.0079111039	PING=23.2
RTT2=568.466358025	RTT=20.676977776	PING=17.9
